ipk_smt1,ipk_smt2,ipk_smt3,ipk_smt4,ipk_smt5,ipk_smt6,ipk_smt7,ipk_smt8,kehadiran_mk1,kehadiran_mk2,kehadiran_mk3,kehadiran_mk4,kehadiran_mk5,kehadiran_mk6,retake,online_activity1,online_activity2,online_activity3,online_activity4,online_activity5,online_activity6,status_pekerjaan,beban_kerja,sosial_ekonomi,cluster
3.0496714153011233,2.666173569882882,3.134768853810069,3.6623029856408023,2.6065846625276663,2.6065863043050816,3.697921281550739,3.206743472915291,80.2530525614065,90.4542560043586,80.35365823071876,84.45342702464298,87.42419622715661,65.70867197553423,-0.1724917832513033,1.5437712470759029,3.7987168879665574,3.031424733259527,5.509197592447879,3.058769629866471,2.3465648768921556,Paruh Waktu,-0.02257763004865357,Menengah,1
4.006752820468792,2.607525181378654,2.755561727547482,2.5010922589709867,2.33490064225777,3.2575698018345673,2.8399361310081193,2.4008306250206726,85.43982933877706,83.5852278184509,79.69865027752621,84.79422890710441,82.78225449121032,84.87791563500289,3.0208863595004756,2.3040329876120222,7.067181395110157,10.369686123586913,7.473846657999541,5.4171368281189975,6.788435171761176,Penuh Waktu,36.969889630441074,Menengah,0
3.772147800963257,3.218015579160529,2.753936122904021,3.0657122226218916,2.3043618289568464,2.053695984463727,1.8424083969394796,2.0314917719583683,91.33230779996941,75.9611676288841,89.90309995224959,98.09312801191162,87.01607824767773,90.96907876241488,2.0331263431403563,3.297554512712236,4.752082576215471,7.8814341023336185,2.689366502599397,6.780379337591933,5.181252582239419,Paruh Waktu,0.1356240028570823,Menengah,1
4.042798987841966,3.2403532897892027,2.4761636025047635,2.8554880245394876,2.0961395605508413,2.763803656646597,2.716417396089005,3.386464365581401,99.73802548959102,90.88219025043752,88.00870470682382,74.67009926495342,70.80917607765355,86.70124310853991,-0.021967188783751194,5.335711257151175,6.347789404474152,6.348172978172635,5.619150639710681,2.0498242956415464,6.891540211770208,Tidak Bekerja,0.03287511096596845,Menengah,1
3.177023979623296,2.7013267433113355,2.369707754934804,2.666864499053289,3.039794690612265,2.5872337853402234,3.130789184686784,1.943648505186788,76.32961202770646,79.926105527218,71.90051134566426,99.97654128666248,73.85846292579495,94.05793546772345,1.965728548347323,3.6197722730778383,3.983871428833399,5.640405085681453,2.288618590121053,3.717457781283184,4.7257550390722765,Paruh Waktu,-0.007444591576616722,Rendah,1
2.528122878470096,2.9173486124550783,2.7160230209941028,2.8763242112485283,3.4507639035218878,3.310154734233361,1.4965288230294758,3.373132196238047,100.11428228145151,97.37519330326867,82.97910319470431,78.00906125452052,92.4402794310936,78.65981489372076,1.058685709380027,5.919045562580998,4.900946367486931,7.343370227039723,4.209965136508765,4.0496524345883795,5.644933656893387,Tidak Bekerja,12.006856297480603,Menengah,1
1.8637696286273895,2.7973592430635184,2.12805757657662,3.144993440501754,2.211674670766376,3.4877938483794324,2.4413517217369667,2.4669135683566044,93.12274599346041,85.33071427542825,87.13925167654388,98.11846338585322,68.92598827942484,86.87818228717772,-0.1236950710878082,5.367954338691573,6.6521941565616896,2.5296984673233185,2.4250492850345875,6.034644820949698,5.531997527842151,Penuh Waktu,30.0232253697161,Menengah,0
2.9293072473298682,2.3185648581973632,3.866577451114476,3.037383292091179,2.030869650279735,3.1456553608633833,2.1625318329772676,3.2187084603742453,96.71585955790073,76.71793176816483,94.69633761292442,89.14127809269364,93.28220601599945,85.18967929826539,2.975461188399713,4.424626383564251,3.411048557037448,3.1184189715034565,3.3922898290585897,4.8341151974816645,5.727669079933002,Penuh Waktu,31.082718324903603,Rendah,0
4.00130018918779,2.875353407715732,2.7135343166762045,3.122016916658962,3.1125667347765003,2.4942842443583717,2.9429107501938887,1.8282472415243185,88.37765372146742,85.5714000494092,82.84732376245735,84.49271710873431,78.81532062819316,76.74851527753142,-0.04465149520670211,4.985639879432347,4.521409374413021,7.0754261221288015,4.3173180925851184,6.338531737972883,2.7116142563798866,Paruh Waktu,0.015372510594552791,Rendah,1
3.1958208718446,2.4157029702169375,2.9957787360348282,2.4460784526368236,1.9583051243175278,3.0853802052034904,1.832233063204291,2.396217496008488,77.75150352672087,87.05137859509122,79.45150476863061,84.08527314906547,69.45708905106932,85.11355656401805,0.09540017634932024,2.66513912513058,7.368473075535966,5.375896922049327,5.222717478546243,5.676318139325999,1.1514636452170897,Paruh Waktu,0.008187413938632256,Menengah,1
